Year,Measure,Fishery,Value
2004,Wholesale value,Food and Bait,3
2004,Landed value,Roe Herring,27.9
2004,Landings,Roe Herring,23.8
2004,Wholesale value,Roe Herring,87
2004,Landed value,Spawn on Kelp,5.6
2004,Landings,Spawn on Kelp,0.4
2004,Wholesale value,Spawn on Kelp,7.6
2004,Landed value,Total,34
2004,Landings,Total,25.5
2004,Wholesale value,Total,97.6
2005,Landed value,Food and Bait,0.9
2005,Landings,Food and Bait,1.4
2005,Wholesale value,Food and Bait,3
2005,Landed value,Roe Herring,28.4
2005,Landings,Roe Herring,29.1
2005,Wholesale value,Roe Herring,82
2005,Landed value,Spawn on Kelp,3.2
2005,Landings,Spawn on Kelp,0.31
2005,Wholesale value,Spawn on Kelp,4.1
2005,Landed value,Total,32.5
2005,Landings,Total,30.81
2005,Wholesale value,Total,89.1
2006,Landed value,Food and Bait,0.5
2006,Landings,Food and Bait,0.9
2006,Wholesale value,Food and Bait,3.5
2006,Landed value,Roe Herring,13.5
2006,Landings,Roe Herring,22.3
2006,Wholesale value,Roe Herring,51.2
2006,Landed value,Spawn on Kelp,4.3
2006,Landings,Spawn on Kelp,0.31
2006,Wholesale value,Spawn on Kelp,5.2
2006,Landed value,Total,18.3
2006,Landings,Total,23.51
2006,Wholesale value,Total,59.9
2007,Landed value,Food and Bait,0.9
2007,Landings,Food and Bait,1.1
2007,Wholesale value,Food and Bait,4
2007,Landed value,Roe Herring,12.8
2007,Landings,Roe Herring,10.5
2007,Wholesale value,Roe Herring,46
2007,Landed value,Spawn on Kelp,6.5
2007,Landings,Spawn on Kelp,0.21
2007,Wholesale value,Spawn on Kelp,7.1
2007,Landed value,Total,20.2
2007,Landings,Total,11.81
2007,Wholesale value,Total,57.1
2008,Landed value,Food and Bait,0.7
2008,Landings,Food and Bait,0.8
2008,Wholesale value,Food and Bait,3
2008,Landed value,Roe Herring,11.7
2008,Landings,Roe Herring,10.5
2008,Wholesale value,Roe Herring,41.1
2008,Landed value,Spawn on Kelp,3.6
2008,Landings,Spawn on Kelp,0.14
2008,Wholesale value,Spawn on Kelp,4.2
2008,Landed value,Total,16
2008,Landings,Total,11.44
2008,Wholesale value,Total,48.3
2009,Landed value,Food and Bait,0.5
2009,Landings,Food and Bait,0.6
2009,Wholesale value,Food and Bait,3.2
2009,Landed value,Roe Herring,15.5
2009,Landings,Roe Herring,11.6
2009,Wholesale value,Roe Herring,59.9
2009,Landed value,Spawn on Kelp,1.6
2009,Landings,Spawn on Kelp,0.13
2009,Wholesale value,Spawn on Kelp,2.2
2009,Landed value,Total,17.6
2009,Landings,Total,12.33
2009,Wholesale value,Total,65.3
2010,Landed value,Food and Bait,0.5
2010,Landings,Food and Bait,0.8
2010,Wholesale value,Food and Bait,3.2
2010,Landed value,Roe Herring,10.6
2010,Landings,Roe Herring,9.3
2010,Wholesale value,Roe Herring,38.7
2010,Landed value,Spawn on Kelp,0.8
2010,Landings,Spawn on Kelp,0.11
2010,Wholesale value,Spawn on Kelp,1.1
2010,Landed value,Total,11.9
2010,Landings,Total,10.21
2010,Wholesale value,Total,43
2011,Landed value,Food and Bait,1.3
2011,Landings,Food and Bait,4.1
2011,Wholesale value,Food and Bait,3.1
2011,Landed value,Roe Herring,4
2011,Landings,Roe Herring,6.6
2011,Wholesale value,Roe Herring,25.8
2011,Landed value,Spawn on Kelp,1
2011,Landings,Spawn on Kelp,0.1
2011,Wholesale value,Spawn on Kelp,1.3
2011,Landed value,Total,6.3
2011,Landings,Total,10.8
2011,Wholesale value,Total,30.2
2012,Landed value,Food and Bait,1.3
2012,Landings,Food and Bait,4.4
2012,Wholesale value,Food and Bait,4.9
2012,Landed value,Roe Herring,9.9
2012,Landings,Roe Herring,8.6
2012,Wholesale value,Roe Herring,32
2012,Landed value,Spawn on Kelp,1.3
2012,Landings,Spawn on Kelp,0.07
2012,Wholesale value,Spawn on Kelp,1.6
2012,Landed value,Total,12.5
2012,Landings,Total,13.07
2012,Wholesale value,Total,38.5
2013,Landed value,Food and Bait,2.3
2013,Landings,Food and Bait,7.1
2013,Wholesale value,Food and Bait,8.7
2013,Landed value,Roe Herring,12.9
2013,Landings,Roe Herring,14
2013,Wholesale value,Roe Herring,35
2013,Landed value,Spawn on Kelp,1.8
2013,Landings,Spawn on Kelp,0.06
2013,Wholesale value,Spawn on Kelp,2
2013,Landed value,Total,17
2013,Landings,Total,21.16
2013,Wholesale value,Total,45.7
2014,Landed value,Food and Bait,2
2014,Landings,Food and Bait,5.6
2014,Wholesale value,Food and Bait,7.4
2014,Landed value,Roe Herring,10.6
2014,Landings,Roe Herring,15
2014,Wholesale value,Roe Herring,31.9
2014,Landed value,Spawn on Kelp,3.1
2014,Landings,Spawn on Kelp,0.18
2014,Wholesale value,Spawn on Kelp,3.9
2014,Landed value,Total,15.7
2014,Landings,Total,20.78
2014,Wholesale value,Total,43.2
2015,Landed value,Food and Bait,3.3
2015,Landings,Food and Bait,7.9
2015,Wholesale value,Food and Bait,10.5
2015,Landed value,Roe Herring,9.4
2015,Landings,Roe Herring,14.5
2015,Wholesale value,Roe Herring,35.5
2015,Landed value,Spawn on Kelp,2.8
2015,Landings,Spawn on Kelp,0.12
2015,Wholesale value,Spawn on Kelp,3.3
2015,Landed value,Total,15.5
2015,Landings,Total,22.52
2015,Wholesale value,Total,49.3
2016,Landed value,Food and Bait,3.4
2016,Landings,Food and Bait,7.8
2016,Wholesale value,Food and Bait,10.5
2016,Landed value,Roe Herring,13
2016,Landings,Roe Herring,16.1
2016,Wholesale value,Roe Herring,38.9
2016,Landed value,Spawn on Kelp,5
2016,Landings,Spawn on Kelp,0.19
2016,Wholesale value,Spawn on Kelp,5.7
2016,Landed value,Total,21.4
2016,Landings,Total,24.09
2016,Wholesale value,Total,55.1
2017,Landed value,Food and Bait,3.3
2017,Landings,Food and Bait,7.3
2017,Wholesale value,Food and Bait,10
2017,Landed value,Roe Herring,17.7
2017,Landings,Roe Herring,20.4
2017,Wholesale value,Roe Herring,51.2
2017,Landed value,Spawn on Kelp,6.5
2017,Landings,Spawn on Kelp,0.24
2017,Wholesale value,Spawn on Kelp,7.5
2017,Landed value,Total,27.5
2017,Landings,Total,27.94
2017,Wholesale value,Total,68.7
