Year,Measure,Fishery,Gear,Area,Value,Unit
2015,ExpectedUse,Roe herring,Gillnet,WestCoastVancouverIsland,"1,000",tons
2015,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"15,440",tons
2015,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,800,tons
2015,ExpectedUse,Roe herring,Seine,WestCoastVancouverIsland,"2,000",tons
2015,ExpectedUse,Roe herring,Seine,HaidaGwaii,800,tons
2015,ExpectedUse,Roe herring,Seine,CentralCoast,800,tons
2015,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"13,975",tons
2015,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,200",tons
2015,QuotaIssued,Roe herring,Gillnet,CentralCoast,600,tons
2015,QuotaIssued,Roe herring,Gillnet,WestCoastVancouverIsland,"1,000",tons
2015,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"15,440",tons
2015,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,800,tons
2015,QuotaIssued,Roe herring,Seine,WestCoastVancouverIsland,"2,000",tons
2015,QuotaIssued,Roe herring,Seine,HaidaGwaii,800,tons
2015,QuotaIssued,Roe herring,Seine,CentralCoast,800,tons
2015,QuotaIssued,Food and Bait,,StraitofGeorgia,"9,085",tons
2015,QuotaIssued,Food and Bait,,PrinceRupertDistrict,500,tons
2015,Landings,Roe herring,Gillnet,StraitofGeorgia,"4,107",tons
2015,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,092",tons
2015,Landings,Roe herring,Gillnet,CentralCoast,0,
2015,Landings,Roe herring,Gillnet,WestCoastVancouverIsland,0,
2015,Landings,Roe herring,Seine,StraitofGeorgia,"9,278",tons
2015,Landings,Roe herring,Seine,PrinceRupertDistrict,812,tons
2015,Landings,Roe herring,Seine,WestCoastVancouverIsland,0,
2015,Landings,Roe herring,Seine,HaidaGwaii,0*,
2015,Landings,Roe herring,Seine,CentralCoast,689,tons
2015,Landings,Food and Bait,,StraitofGeorgia,"7,931",tons
2015,Landings,Food and Bait,,PrinceRupertDistrict,*N/A,
2015,#Pools,Roe herring,Gillnet,StraitofGeorgia,22,
2015,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,5,
2015,#Pools,Roe herring,Gillnet,CentralCoast,3,
2015,#Pools,Roe herring,Gillnet,WestCoastVancouverIsland,3,
2015,#Pools,Roe herring,Seine,StraitofGeorgia,8,
2015,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2015,#Pools,Roe herring,Seine,WestCoastVancouverIsland,1,
2015,#Pools,Roe herring,Seine,HaidaGwaii,1,
2015,#Pools,Roe herring,Seine,CentralCoast,1,
2015,#Licences,Roe herring,Gillnet,StraitofGeorgia,1028,
2015,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,125,
2015,#Licences,Roe herring,Gillnet,CentralCoast,60,
2015,#Licences,Roe herring,Gillnet,WestCoastVancouverIsland,15,
2015,#Licences,Roe herring,Seine,StraitofGeorgia,216,
2015,#Licences,Roe herring,Seine,PrinceRupertDistrict,8,
2015,#Licences,Roe herring,Seine,WestCoastVancouverIsland,7,
2015,#Licences,Roe herring,Seine,HaidaGwaii,2,
2015,#Licences,Roe herring,Seine,CentralCoast,9,
2015,#Licences,Food and Bait,,StraitofGeorgia,210,
2015,#Licences,Food and Bait,,PrinceRupertDistrict,10,
2015,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,13.594,tons
2015,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,9.6,tons
2015,Tonsperlicence,Roe herring,Gillnet,CentralCoast,10,tons
2015,Tonsperlicence,Roe herring,Gillnet,WestCoastVancouverIsland,66.667,tons
2015,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,71.481,tons
2015,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,100,tons
2015,Tonsperlicence,Roe herring,Seine,WestCoastVancouverIsland,285.714,tons
2015,Tonsperlicence,Roe herring,Seine,HaidaGwaii,400,tons
2015,Tonsperlicence,Roe herring,Seine,CentralCoast,88.889,tons
2015,Tonsperlicence,Food and Bait,,StraitofGeorgia,35.123/65,tons
2015,Tonsperlicence,Food and Bait,,PrinceRupertDistrict,50,tons
2015,Open,Roe herring,Gillnet,StraitofGeorgia,"Feb28, 2015
14:30",
2015,Open,Roe herring,Gillnet,PrinceRupertDistrict,"Mar22, 2015
08:00",
2015,Open,Roe herring,Gillnet,CentralCoast,"Mar31, 2015
12:00",
2015,Open,Roe herring,Gillnet,WestCoastVancouverIsland,No opening,
2015,Open,Roe herring,Seine,StraitofGeorgia,"Feb24, 2015
17:00",
2015,Open,Roe herring,Seine,PrinceRupertDistrict,"Mar21,
2015 07:53",
2015,Open,Roe herring,Seine,WestCoastVancouverIsland,"Mar8, 2015
16:00",
2015,Open,Roe herring,Seine,HaidaGwaii,No fishery,
2015,Open,Roe herring,Seine,CentralCoast,"Mar22,
2015 16:48",
2014,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"6,090",tons
2014,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,200",tons
2014,ExpectedUse,Roe herring,Gillnet,CentralCoast,750,
2014,ExpectedUse,Roe herring,Gillnet,WestCoastVancouverIsland,825,
2014,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"7,543",tons
2014,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,800,tons
2014,ExpectedUse,Roe herring,Seine,WestCoastVancouverIsland,"1,292",tons
2014,ExpectedUse,Roe herring,Seine,HaidaGwaii,"1,200",tons
2014,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"6,090",tons
2014,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,200",tons
2014,QuotaIssued,Roe herring,Gillnet,CentralCoast,750,
2014,QuotaIssued,Roe herring,Gillnet,WestCoastVancouverIsland,825,
2014,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"7,543",tons
2014,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,800,tons
2014,QuotaIssued,Roe herring,Seine,WestCoastVancouverIsland,"1,292",tons
2014,QuotaIssued,Roe herring,Seine,HaidaGwaii,"1,200",tons
2014,QuotaIssued,SOK,NA,Area10/12,"8,000",tons
2014,QuotaIssued,Food and Bait,,StraitofGeorgia,200,tons
2014,Landings,Roe herring,Gillnet,StraitofGeorgia,"6,167",tons
2014,Landings,Roe herring,Gillnet,PrinceRupertDistrict,"1,230",tons
2014,Landings,Roe herring,Gillnet,CentralCoast,757,
2014,Landings,Roe herring,Gillnet,WestCoastVancouverIsland,0*,
2014,Landings,Roe herring,Seine,StraitofGeorgia,"7,584",tons
2014,Landings,Roe herring,Seine,PrinceRupertDistrict,791,tons
2014,Landings,Roe herring,Seine,WestCoastVancouverIsland,0*,
2014,Landings,Roe herring,Seine,HaidaGwaii,0,
2014,Landings,SOK,NA,Area10/12,"8,000",tons
2014,Landings,Food and Bait,,StraitofGeorgia,*N/A,
2014,#Pools,Roe herring,Gillnet,StraitofGeorgia,11,
2014,#Pools,Roe herring,Gillnet,PrinceRupertDistrict,5,
2014,#Pools,Roe herring,Gillnet,CentralCoast,6,
2014,#Pools,Roe herring,Gillnet,WestCoastVancouverIsland,4,
2014,#Pools,Roe herring,Seine,StraitofGeorgia,9,
2014,#Pools,Roe herring,Seine,PrinceRupertDistrict,1,
2014,#Pools,Roe herring,Seine,WestCoastVancouverIsland,1,
2014,#Pools,Roe herring,Seine,HaidaGwaii,1,
2014,#Licences,Roe herring,Gillnet,StraitofGeorgia,1018,
2014,#Licences,Roe herring,Gillnet,PrinceRupertDistrict,172,
2014,#Licences,Roe herring,Gillnet,CentralCoast,50,
2014,#Licences,Roe herring,Gillnet,WestCoastVancouverIsland,23,
2014,#Licences,Roe herring,Seine,StraitofGeorgia,195,
2014,#Licences,Roe herring,Seine,PrinceRupertDistrict,16,
2014,#Licences,Roe herring,Seine,WestCoastVancouverIsland,27,
2014,#Licences,Roe herring,Seine,HaidaGwaii,13,
2014,#Licences,SOK,NA,Area10/12,100,
2014,#Licences,Food and Bait,,StraitofGeorgia,4,
2014,Tonsperlicence,Roe herring,Gillnet,StraitofGeorgia,5.982,tons
2014,Tonsperlicence,Roe herring,Gillnet,PrinceRupertDistrict,6.977,tons
2014,Tonsperlicence,Roe herring,Gillnet,CentralCoast,15,tons
2014,Tonsperlicence,Roe herring,Gillnet,WestCoastVancouverIsland,35.87,tons
2014,Tonsperlicence,Roe herring,Seine,StraitofGeorgia,38.682,tons
2014,Tonsperlicence,Roe herring,Seine,PrinceRupertDistrict,50,tons
2014,Tonsperlicence,Roe herring,Seine,WestCoastVancouverIsland,47.852,tons
2014,Tonsperlicence,Roe herring,Seine,HaidaGwaii,92.308,tons
2014,Tonsperlicence,SOK,NA,Area10/12,80,tons
2014,Tonsperlicence,Food and Bait,,StraitofGeorgia,50,tons
2014,Open,Roe herring,Gillnet,StraitofGeorgia,"Mar5, 2014
09:30",
2014,Open,Roe herring,Gillnet,PrinceRupertDistrict,"Mar30, 2014
08:00",
2014,Open,Roe herring,Gillnet,CentralCoast,"Apr1, 2014
14:30",
2014,Open,Roe herring,Gillnet,WestCoastVancouverIsland,No fishery,
2014,Open,Roe herring,Seine,StraitofGeorgia,"Mar3, 2014
11:00",
2014,Open,Roe herring,Seine,PrinceRupertDistrict,"Mar23, 2014
07:25",
2014,Open,Roe herring,Seine,WestCoastVancouverIsland,No fishery,
2014,Open,Roe herring,Seine,HaidaGwaii,No fishery,
2013,ExpectedUse,Roe herring,Gillnet,StraitofGeorgia,"6,350",tons
2013,ExpectedUse,Roe herring,Gillnet,PrinceRupertDistrict,"1,300",tons
2013,ExpectedUse,Roe herring,Seine,StraitofGeorgia,"6,655",tons
2013,ExpectedUse,Roe herring,Seine,PrinceRupertDistrict,800,tons
2013,QuotaIssued,Roe herring,Gillnet,StraitofGeorgia,"6,350",tons
2013,QuotaIssued,Roe herring,Gillnet,PrinceRupertDistrict,"1,300",tons
2013,QuotaIssued,Roe herring,Seine,StraitofGeorgia,"6,655",tons
2013,QuotaIssued,Roe herring,Seine,PrinceRupertDistrict,800,tons
2013,QuotaIssued,Food and Bait,,StraitofGeorgia,"4,445",tons
